txn_id,date,amount,counterparty,reference,category
TXN-2026-04-001,2026-04-15,-50000.00,INTERN OVERFOERSEL,Overførsel til drift,internal_transfer
TXN-2026-04-002,2026-04-22,-12345.67,ENERGI DANMARK,El + varme april,utilities
TXN-2026-04-003,2026-04-23,-4200.00,KBH LOGISTIK,Inv 2026-0488 transport,supplier_payment
TXN-2026-04-004,2026-04-25,-287541.22,LOENUDBETALING,April lønninger,payroll
TXN-2026-04-005,2026-04-27,-1837.89,GLOBAL OFFICE SUPP,GOS-99421 early payment -2%,supplier_payment
TXN-2026-04-006,2026-04-30,-85.00,DANSKE BANK,Maanedsgebyr april,bank_fees
TXN-2026-04-007,2026-04-30,-21350.00,NORDIC STEEL A/S,Faktura NS-2026-0431 + NS-2026-0455,supplier_payment
TXN-2026-05-001,2026-05-01,-32500.00,KONTORHUSET ApS,Husleje maj 2026,rent
TXN-2026-05-002,2026-05-02,-3450.00,SKAN EL VVS A/S,SVS-2026-104,supplier_payment
TXN-2026-05-003,2026-05-03,-22105.10,ACME TOOLS INC,Acme INV-44219 -2% early pay,supplier_payment
TXN-2026-05-004,2026-05-04,-65275.00,BERLINER MASCH,Rechnung 2026-1198,supplier_payment
TXN-2026-05-005,2026-05-05,-35589.21,ACME TOOLS INC,INV-44280,supplier_payment
TXN-2026-05-006,2026-05-08,-6200.00,PROTECH SOLUTIONS,Invoice PTS-3349,supplier_payment
TXN-2026-05-007,2026-05-08,-15634.92,HAMBURG VERPACKG,HVP-2026-77  EUR2100 FX 7.4452,supplier_payment
TXN-2026-05-008,2026-05-10,-125000.00,SKAT,A-skat april 2026,tax
TXN-2026-05-009,2026-05-12,-42.50,DANSKE BANK,Udlandsgebyr SEPA,bank_fees
TXN-2026-05-010,2026-05-13,-7320.00,JUTLAND TRADING,JT-0214,supplier_payment
TXN-2026-05-011,2026-05-15,-42376.53,MUENCHEN HARDWARE,RE-2026-339,supplier_payment
